   0.0000000000000000        1.0000000000000000        0.0000000000000000     
   1.0000000000000000E-002  0.99190000000000000      -0.81000000000000005       -81.000000000000000     
   2.0000000000000000E-002  0.97576560999999995       -1.6134390000000001       -80.343900000000005     
   2.9999999999999999E-002  0.95172751855899995       -2.4038091441000002       -79.037014409999998     
   4.0000000000000001E-002  0.91998043421767206       -3.1747084341327900       -77.089929003278996     
   5.0000000000000003E-002  0.88078150835918101       -3.9198925858491043       -74.518415171631432     
   6.0000000000000005E-002  0.83444825228298058       -4.6333256076200406       -71.343302177093662     
   7.0000000000000007E-002  0.78135596536328800       -5.3092286919692553       -67.590308434921425     
   8.0000000000000002E-002  0.72193469512415276       -5.9421270239135184       -63.289833194426329     
   8.9999999999999997E-002  0.65666575385451198       -6.5268941269640823       -58.476710305056372     
   9.9999999999999992E-002  0.58607781997864961       -7.0587933875862374       -53.189926062215470     
  0.10999999999999999       0.51074265576096012       -7.5335164217689439       -47.472303418270620     
  0.11999999999999998       0.43127047603160690       -7.9472179729353218       -41.370155116637768     
  0.12999999999999998       0.34830500544639764       -8.2965470585209236       -34.932908558560158     
  0.13999999999999999       0.26251826431707259       -8.5786741129325055       -28.212705441158210     
  0.14999999999999999       0.17460512524677924       -8.7913139070293340       -21.263979409682879     
  0.16000000000000000        8.5277684661986985E-002  -8.9327440584792246       -14.143015144989118     
  0.17000000000000001       -4.7405051685673605E-003  -9.0018189830554345       -6.9074924576209460     
  0.18000000000000002       -9.4720296907256321E-002  -8.9979791738688952       0.38398091865395623     
  0.19000000000000003      -0.18393285424099651       -8.9212557333740179        7.6723440494877622     
  0.20000000000000004      -0.27165555545538461       -8.7722701214388099        14.898561193520717     
  0.21000000000000005      -0.35717784667058411       -8.5522291215199484        22.004099991886154     
  0.22000000000000006      -0.43980699732775186       -8.2629150657167756        28.931405580317314     
  0.23000000000000007      -0.51887371130656479       -7.9066713978812970        35.624366783547899     
  0.24000000000000007      -0.59373754822379454       -7.4863836917229793        42.028770615831746     
  0.25000000000000006      -0.66379211100041158       -7.0054562776617058        48.092741406127359     
  0.26000000000000006      -0.72846995767792533       -6.4677846677513724        53.767160991033336     
  0.27000000000000007      -0.78724719769824780       -5.8777240020322532        59.006066571911951     
  0.28000000000000008      -0.83964773541721449       -5.2400537718966724        63.767023013558074     
  0.29000000000000009      -0.88524712647930182       -4.5599391062087289        68.011466568794376     
  0.30000000000000010      -0.92367601581690673       -3.8428889337604941        71.705017244823452     
  0.31000000000000011      -0.95462312942639471       -3.0947113609487995        74.817757281169449     
  0.32000000000000012      -0.97783779568752893       -2.3214666261134198        77.324473483537972     
  0.33000000000000013      -0.99313197580359414       -1.5294180116065212        79.204861450689847     
  0.34000000000000014       -1.0003817869156502      -0.72498111120560993        80.443690040091127     
  0.35000000000000014      -0.99952850555368955        8.5328136196066717E-002   81.030924740167663     
  0.36000000000000015      -0.99057904329674396       0.89494622569455529        80.961808949848859     
  0.37000000000000016      -0.97360589078909476        1.6973152507649178        80.236902507036262     
  0.38000000000000017      -0.94874653056605396        2.4859360223040845        78.862077153916673     
  0.39000000000000018      -0.91620232344542807        3.2544207120625881        76.848468975850366     
  0.40000000000000019      -0.87623687750489421        3.9965445940533848        74.212388199079669     
  0.41000000000000020      -0.82917391285657072        4.7062964648323495        70.975187077896436     
  0.42000000000000021      -0.77539463951410903        5.3779273342461718        67.163086941382232     
  0.43000000000000022      -0.71533466959158298        6.0059969922525998        62.806965800642828     
  0.44000000000000022      -0.64948048884536513        6.5854180746217823        57.942108236918223     
  0.45000000000000023      -0.57836551613949982        7.1114972705865283        52.607919596474574     
  0.46000000000000024      -0.50256578275290464        7.5799733386595234        46.847606807299485     
  0.47000000000000025      -0.42269526652601086        7.9870516226893766        40.707828402985278     
  0.48000000000000026      -0.33940091864025640        8.3294347885754458        34.238316588606878     
  0.49000000000000027      -0.25335742331351585        8.6043495326740533        27.491474409860768     
  0.50000000000000022      -0.16526173285793583        8.8095690455580016        20.521951288394785     
  0.51000000000000023       -7.5827422366206529E-002   8.9434310491729292        13.386200361492802     
  0.52000000000000024        1.4221090246689036E-002   9.0048512612895557        6.1420212116627289     
  0.53000000000000025       0.10415441202858641        8.9933321781897373       -1.1519083099818119     
  0.54000000000000026       0.19324408307305224        8.9089671044465817       -8.4365073743155001     
  0.55000000000000027       0.28076847704462637        8.7524393971574099       -15.652770728917231     
  0.56000000000000028       0.36601864635213899        8.5250169307512618       -22.742246640614738     
  0.57000000000000028       0.44830406462419931        8.2285418272060298       -29.647510354523259     
  0.58000000000000029       0.52695821997280357        7.8654155348604284       -36.312629234560141     
  0.59000000000000030       0.60134401373962820        7.4385793766824575       -42.683615817797090     
  0.60000000000000031       0.67085892099516176        6.9514907255533585       -48.708865112909884     
  0.61000000000000032       0.73493987099063451        6.4080949995472771       -54.339572600608101     
  0.62000000000000033       0.79306780803108312        5.8127937040448634       -59.530129550241398     
  0.63000000000000034       0.84477189582647993        5.1704087795396863       -64.238492450517739     
  0.64000000000000035       0.88963333126568234        4.4861435439202371       -68.426523561944876     
  0.65000000000000036       0.92728873672163270        3.7655405455950346       -72.060299832520272     
  0.66000000000000036       0.95743310341013776        3.0144366688505118       -75.110387674452255     
  0.67000000000000037       0.97982226196102074        2.2389158550883002       -77.552081376221153     
  0.68000000000000038       0.99427486019001943        1.4452598228998732       -79.365603218842679     
  0.69000000000000039        1.0006738320514790       0.63989718614595748       -80.536263675391567     
  0.70000000000000040       0.99896734587332159      -0.17064861781574048       -81.054580396169797     
